Style,Category,Number,ABV_Low,ABV_High,ABV_Avg,IBU_Low,IBU_High,IBU_Avg,SRM_Low,SRM_High,SRM_Avg,OG_Low,OG_High,OG_Avg,A_degree_P_Avg,FG_Low,FG_High,FG_Avg,"P_Avg",ADF,BU_GU,"Relative_Bitterness",RDF,Year,RE (SG),RE (P),"BU:RE
(°P)","BU:REU
(SG)","BU:FG
(°P)","BU:FGU
(SG)","BU:FG
(SG)",Ingredients
"Spice, Herb, or Vegetable Beer",Spiced Beer,30A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autumn Seasonal Beer,Spiced Beer,30B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Seasonal Beer,Spiced Beer,30C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative Grain Beer,Alternative Fermentables Beer,31A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative Sugar Beer,Alternative Fermentables Beer,31B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic Style Smoked Beer,Smoked Beer,32A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specialty Smoked Beer,Smoked Beer,32B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood-Aged Beer,Wood Beer,33A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specialty Wood-Aged Beer,Wood Beer,33B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clone Beer,Specialty Beer,34A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed-Style Beer,Specialty Beer,34B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experimental Beer,Specialty Beer,34C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
